Full Name,Description,Job,Education Place,Native Language,Country,Father,Mother,Spouse,Birth Date,Death Date,Birth Place,Death Place,Death Method,Death Reason
Shanta Shelke,Marathi Poet And Writer,Poet,,,India,,,,1922-10-19,2002-06-06,Pune,,Natural Causes,Cancer
Sonali Bendre,Indian Actress And Model,Model,Kendriya Vidyalaya,Hindi,India,,,Goldie Behl,1975-01-01,,Mumbai,,,
Indira Gandhi,Indian Prime Minister And Politician (1917-1984),Politician,Somerville College,,India,Jawaharlal Nehru,Kamala Nehru,Feroze Gandhi,1917-11-19,1984-10-31,Allahabad,New Delhi,Homicide,Ballistic Trauma
Baby Halder,Indian Housemaid And Author,Writer,,Bengali,India,,,,1973-06-19,,Kashmir,,,
Genelia D'Souza,Indian Actress,Actor,"St. Andrew'S College, Mumbai",,India,,,Riteish Deshmukh,1982-08-05,,Mumbai,,,
Kirron Kher,"Indian Theatre, Film And Television Actress And Tv Talk Show Host",Stage Actor,Panjab University,,India,,,Anupam Kher,1955-06-14,,Chandigarh,,,
Sania Mirza,Indian Tennis Player,Tennis Player,Osmania University,,India,,,Shoaib Malik,1986-11-15,,Mumbai,,,
Mahasweta Devi,Indian Bengali Fiction Writer And Socio-Political Activist,Human Rights Activist,University Of Calcutta,Bengali,British India,Manish Ghatak,,Bijon Bhattacharya,1926-01-14,2016-07-28,Dhaka,Kolkata,,Multiple Organ Dysfunction Syndrome
Aishwarya R. Dhanush,Indian Classical Dancer And Playback Singer,Film Director,,,India,Rajinikanth,Latha Rajinikanth,Dhanush,1982-01-01,,Chennai,,,
Aruna Irani,Indian Actress,Actor,,,India,,,,1952-05-03,,Mumbai,,,
Preity Zinta,Indian Film Actress And Entrepreneur,Film Actor,,,India,,,Gene Goodenough,1975-01-31,,Shimla,,,
Urvashi,Indian Actress,Actor,,Malayalam,India,,,Manoj K. Jayan,1967-01-25,,Thiruvananthapuram,,,
Madhuri Dixit,Indian Actress,Film Actor,,,India,,,Shriram Madhav Nene,1967-05-15,,Mumbai,,,
Malaika Arora,Indian Actress,Actor,,,India,Anil Arora,Joyce Polycarp,Arbaaz Khan,1975-10-23,,Thane,,,
Mandakini,Indian Actress,Actor,,,India,,,,1969-07-30,,Meerut,,,
Mary Kom,Indian Boxer,Boxer,Manipur University,,India,,,,1983-03-01,,Manipur,,,
Shruti Haasan,Indian Actress,Actor,Musicians Institute,,India,Kamal Haasan,Sarika,,1986-01-28,,Chennai,,,
Leela Majumdar,Indian Author Of Children'S Books,Translator,University Of Calcutta,Bengali,India,,,,1908-02-26,2007-04-05,Kolkata,Kolkata,,
Sujata Nahar,Hindu Writer,Writer,,,India,,,,1925-12-12,2007-05-04,Kolkata,,,
Mother Meera,Indian Mystic Living In Germany,Academic,,,India,,,,1960-12-26,,Andhra Pradesh,,,
Nayantara Sahgal,"Indian Author, Former Ambassador To Italy",Journalist,Wellesley College,,India,,Vijaya Lakshmi Pandit,,1927-05-10,,Allahabad,,,
Soha Ali Khan,Indian Actress,Film Actor,Balliol College,,India,Mansoor Ali Khan Pataudi,Sharmila Tagore,Kunal Khemu,1978-10-04,,New Delhi,,,
Padmini,Indian Actress,Film Actor,,,India,,,,1932-06-12,2006-09-25,Thiruvananthapuram,Chennai,Natural Causes,Myocardial Infarction
Mahadevi Varma,Indian Hindi Writer And Poet (1907-1987),Poet,Allahabad University,,British India,,,,1907-03-26,1987-09-11,Farrukhabad District,Allahabad,,
Kiran Mazumdar-Shaw,"Indian Entrepreneur (Biocon), Billionaire",Brewmaster,Bishop Cotton Girls' School,,India,,,,1953-03-23,,Bengaluru,,,
Meena Kumari,Indian Actress And Poet,Actor,,,British India,,,Kamal Amrohi,1933-08-01,1972-03-31,Dadar,Mumbai,Natural Causes,Liver Cirrhosis
Asin,Indian Actress,Model,,Malayalam,India,,,Rahul Sharma,1985-10-26,,Kochi,,,
Mira Nair,Indian Film Director,Actor,Harvard University,,India,,,Mitch Epstein,1957-10-15,,Rourkela,,,
Saina Nehwal,Indian Badminton Player,Badminton Player,"Campus School, Ccs Hau",,India,,,Parupalli Kashyap,1990-03-17,,Dhindar,,,
Ashwini Ponnappa,Indian Badminton Player,Badminton Player,,,India,,,,1989-09-18,,Bengaluru,,,
Kamala Markandaya,Indian Writer,Journalist,University Of Madras,,India,,,,1924-06-23,2004-05-16,Mysore,London,,
Prajakta Sawant,Badminton Player,Badminton Player,,,India,,,,1992-10-28,,Mumbai,,,
Suman Deodhar,Badminton Player,Badminton Player,,,India,D. B. Deodhar,,,1930-00-00,,,,,
Seeta Devi,Indian Actress (1912-1983),Actor,,,India,,,,1912-01-01,1983-01-01,British India,India,,
Tanuja Chandra,Indian Film Director,Author,,,India,,Kamna Chandra,,1969-01-01,,Lucknow,,,
Cleophis,Indian Warrior,Actor,,,India,,,,-0400-00-00,,,,,
Neha Ahuja,Indian Alpine Skier,Alpine Skier,University Of Colorado Boulder,,India,,,,1981-09-27,,Delhi,,,
Bina Rai,Indian Actress,Actor,Isabella Thoburn College,,India,,,Prem Nath,1931-06-04,2009-12-06,Lahore,Mumbai,Natural Causes,Myocardial Infarction
Nur Jahan,Padshah Begum Of The Mughal Empire,Poet,,,India,Mirza Ghiyas Beg,Asmat Begam,Jahangir,1577-05-31,1645-12-18,Kandahar,Lahore,,
Nandita Das,Indian Actress And Film Director,Film Director,University Of Delhi,Odia,India,Jatin Das,,,1969-11-07,,Mumbai,,,
Mary Ann Gomes,Indian Chess Player,Chess Player,,,India,,,,1989-09-19,,Kolkata,,,
B. R. Meenakshi,Badminton Player,Badminton Player,,,India,,,,1979-09-20,,,,,
Arundhathi Subramaniam,"English Language Indian Woman Poet,",Poet,"St. Xavier'S College, Mumbai",,India,,,,1973-01-01,,India,,,
Sarah-Jane Dias,Indian Actress,Actor,Mithibai College,,India,,,,1982-12-03,,Muscat,,,
Pooja Bhatt,Indian Actress,Actor,,,India,Mahesh Bhatt,Kiran Bhatt,Manish Makhija,1972-02-24,,Mumbai,,,
Ranganayaki Rajagopalan,Indian Musician,Musician,,,India,,,,1932-05-03,2018-09-20,,,,
Roop Kanwar,Indian Victim Of Sati,,,,India,,,,1969-01-01,1987-09-04,,Sikar District,Homicide,Death By Burning
Li Gotami Govinda,Indian Painter (1906-1988),Painter,,,India,,,,1906-04-22,1988-08-18,Mumbai,Pune,,
Rohini Hattangadi,Indian Actress,Actor,National School Of Drama,,India,,,,1951-04-11,,Pune,,,
Kalpana Saroj,Indian Entrepreneur,Industrialist,,,India,,,Samir Saroj,1961-01-01,,,,,
Pradnya Gadre,Badminton Player,Badminton Player,,,India,,,,1990-10-17,,Mumbai,,,
Silk Smitha,Actress (1960-1996),Actor,,Telugu,India,,,,1960-12-02,1996-09-23,Eluru,Chennai,Suicide,Hanging
Remya Nambeesan,Indian Actress,Actor,,Malayalam,India,,,,1986-01-01,,Chottanikkara,,,
Morin Mathias,Badminton Player,Badminton Player,,,India,,,,1950-00-00,,,,,
Neelima Chowdary,Badminton Player,Badminton Player,,,India,,,,1977-09-15,,Andhra Pradesh,,,
Bombayla Devi Laishram,Indian Archer,Archer,,,India,,,,1985-02-22,,Imphal,,,
Smita Bansal,Indian Actress,Actor,,,India,,,,1977-02-21,,Jaipur,,,
Sakshi Tanwar,Indian Actress,Model,Kendriya Vidyalaya,,India,,,,1973-01-12,,Alwar,,,
Vibha Anand,Indian Television Actress,Actor,,,India,,,,1990-09-08,,Mumbai,,,
Megha,Indian Singer,Singer,,,India,,,,1987-03-18,,Chennai,,,
P. V. Sharada,Badminton Player,Badminton Player,,,India,,,,1972-04-12,,,,,
Raageshwari,Indian Actress,Actor,,,India,Trilok Singh Loomba,,Sudhanshu Swaroop,1977-07-25,,Mumbai,,,
Shweta Mohan,Indian Singer,Singer,Stella Maris College,,India,,Sujatha Mohan,,1986-11-19,,Thiruvananthapuram,,,
Sadhana Sargam,Indian Singer,Actor,,,India,,,,1974-03-07,,Dabhol,,,
Mamta Mohandas,Indian Film Actress And Playback Singer,Actor,,Malayalam,India,,,,1984-11-14,,Manama,,,
P. Susheela,Indian Singer,Actor,Andhra University,Telugu,India,,,,1935-11-13,,Vizianagaram,,,
Anna Katharina Valayil,Singer,Singer,,,India,,,,1986-02-14,,Kottayam,,,
Hansika Motwani,Indian Actress,Actor,,Hindi,India,,,,1991-08-09,,Mumbai,,,
Reema Sen,Indian Actress,Actor,,,India,,,,1981-10-29,,Kolkata,,,
Sushila Kapadia,Badminton Player,Badminton Player,,,India,,,,1932-01-01,,,,,
Tillotama Shome,Indian Actress,Actor,New York University,,India,,,,2000-01-01,,Kolkata,,,
Madhur Jaffrey,"Indian Actress, Food And Travel Writer, And Television Personality",Television Actor,University Of Delhi,,India,,,Saeed Jaffrey,1933-08-13,,Delhi,,,
Anila Dalal,Gujarati Writer From India,Translator,,,India,,,,1933-10-21,,Ahmedabad,,,
Falguni Pathak,Indian Singer,Singer,,,India,,,,1964-03-12,,Vadodara,,,
Manjari Desai,Gujarati Acrtess,Actor,,,India,,,,,,,,,
Zoya Akhtar,Indian Film Director,Film Director,"St. Xavier'S College, Mumbai",,India,Javed Akhtar,Honey Irani,,1974-01-09,,Mumbai,,,
Gulabo Sapera,Indian Dancer,Dancer,,,India,,,,1960-00-00,,,,,
Sadhana Shivdasani,Indian Actress,Actor,Jai Hind College,,India,,,R. K. Nayyar,1941-09-02,2015-12-25,Karachi,Mumbai,Natural Causes,Cancer
Aranmula Ponnamma,Indian Actress,Actor,,Malayalam,India,,,,1915-04-08,2011-02-21,Aranmula,Thiruvananthapuram,,
Nivedita Bhasin,Indian Aviator,Aircraft Pilot,,,India,,,,1963-01-01,,,,,
